Category,Name,ID,Level,Event Log,Event Source,
"Windows Defender Activities","Real-Time Protection failed","3002","Error","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","Reverting to last known good set of signatures","2004","Warning","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","Scan Failed","1005","Error","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Defender Activities","Unexpected Error","5008","Error","Microsoft-Windows-Windows Defender/Operational","Microsoft-Windows-Windows Defender",
"Windows Firewall","Firewall Failed to load Group Policy","2009","Error","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Microsoft-Windows-Windows Firewall With Advanced Security",
"Windows Firewall","Firewall Rule Add","2004","Information","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Microsoft-Windows-Windows Firewall With Advanced Security",
"Windows Firewall","Firewall Rule Change","2005","Information","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Microsoft-Windows-Windows Firewall With Advanced Security",
"Windows Firewall","Firewall Rules Deleted","2006, 2033","Information","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","Microsoft-Windows-Windows Firewall With Advanced Security",
"Windows Update Errors","Hotpatching Failed","1009","Information","Setup","Microsoft-Windows-Servicing",
"Windows Update Errors","Windows Update Failed","20, 24, 25, 31, 34, 35","Error","Microsoft-Windows-WindowsUpdateClient/Operational","Microsoft-Windows-WindowsUpdateClient",
